cluster_english,cluster_arabic,english_keywords,arabic_keywords,keyword_count
conflicts and violence,الصراعات والعنف,"['clan battle', 'foreign troops', 'conflict', 'violent suppression', 'terrorism', 'bombing campaign', 'international terrorists', 'destructive pattern', 'militia groups', 'continued strife', 'police torture', 'the offensive', 'clan warfare', 'major offensive', 'civil strife', 'rival warlords', 'gangs of bandits', 'repression', 'years of warfare', 'pirates', 'siege', 'blockade', 'human rights abuses', 'prolonged fighting', 'internal strife', 'air attack', 'rebel insurgency', 'brutal government', 'looting', 'jihadist groups', 'clans', 'terrorist', 'warlord', 'convoys', 'mayhem']","['معركة العشيرة', 'القوات الأجنبية', 'الصراع', 'القمع العنيف', 'الإرهاب', 'حملة القصف', 'الإرهابيون الدوليون', 'نمط مدمر', 'جماعات الميليشيات', 'استمرار الصراع', 'تعذيب الشرطة', 'الهجومي', 'حرب العشائر', 'هجوم كبير', 'الصراع المدني', 'أمراء الحرب المتنافسين', 'عصابات قطاع الطرق', 'القمع', 'سنوات من الحرب', 'القراصنة', 'الحصار', 'الحصار', 'انتهاكات حقوق الإنسان', 'القتال لفترات طويلة', 'الصراع الداخلي', 'هجوم جوي', 'تمرد المتمردين', 'حكومة وحشية', 'السلب والنهب', 'الجماعات الجهادية', 'العشائر', 'إرهابي', 'أمراء الحرب', 'قوافل', 'الفوضى والفوضى']",35
political instability,عدم الاستقرار السياسي,"['oppressive regimes', 'anti-western policies', 'lack of authority', 'military dictatorship', 'military junta', 'corrupt government', 'politically engineered', 'coup', 'power struggle', 'secession', 'corruption', 'collapse of government', 'regimes were toppled', 'totalitarian', 'authoritarian', 'dictators', ""d'etat"", 'overthrow', 'mismanagement']","['الأنظمة القمعية', 'سياسات معادية للغرب', 'غياب السلطة', 'الديكتاتورية العسكرية', 'المجلس العسكري', 'الحكومة الفاسدة', 'هندسة سياسية', 'انقلاب', 'الصراع على السلطة', 'الانفصال', 'الفساد', 'انهيار الحكومة', 'تم إسقاط الأنظمة', 'الشمولية', 'السلطوية', 'دكتاتوريين', 'ديتات', 'الإطاحة', 'سوء الإدارة']",19
economic issues,القضايا الاقتصادية,"['slashed export', 'price rise', 'reduced national output', 'economic impoverishment', 'increased external debt', 'collapsing economy', 'rising inflation', 'cycle of poverty', 'price of food', 'rising food prices', 'rise', 'reduced imports', 'brain drain', 'economic crisis', 'disrupted trade', 'devastated the economy']","['تصدير مخفض', 'ارتفاع الأسعار', 'انخفاض الناتج القومي', 'الفقر الاقتصادي', 'زيادة الديون الخارجية', 'انهيار الاقتصاد', 'ارتفاع التضخم', 'دورة الفقر', 'أسعار المواد الغذائية', 'ارتفاع أسعار المواد الغذائية', 'الارتفاع', 'انخفاض الواردات', 'هجرة الأدمغة', 'الأزمة الاقتصادية', 'تعطل التجارة', 'دمر الاقتصاد']",16
humanitarian aid,المعونة الإنسانية,"['withheld relief', 'international alarm', 'humanitarian situation', 'aid appeal', 'foreign aid', 'food assistance', 'restricted humanitarian access', 'stolen food aid', 'without international aid', 'restricted relief flights', 'aid workers died', 'humanitarian disaster', 'call for donations', 'international intervention', 'self reliance', 'international embargo']","['الإغاثة المحتجزة', 'الإنذار الدولي', 'الحالة الإنسانية', 'نداء المعونة', 'المساعدات الخارجية', 'المساعدات الغذائية', 'تقييد وصول المساعدات الإنسانية', 'مساعدات غذائية مسروقة', 'بدون مساعدات دولية', 'رحلات الإغاثة المقيدة', 'توفي عمال الإغاثة', 'كارثة إنسانية', 'دعوة للتبرع', 'التدخل الدولي', 'الاعتماد على الذات', 'الحظر الدولي']",16
agricultural production issues,قضايا الإنتاج الزراعي,"['failed crops', 'disruption to farming', 'harvests are devastated', 'bad harvests', 'water distribution shortages', 'cattle death', 'lack of roads', 'unable to sow', 'transport bottleneck', 'livestock had died', 'infrastructure damage', 'lack of cultivation', 'harvest decline', 'lack of agricultural infrastructure', 'toll on livestock']","['المحاصيل الفاشلة', 'تعطيل الزراعة', 'الحصاد مدمّر', 'المحاصيل السيئة', 'نقص توزيع المياه', 'موت الماشية', 'عدم وجود طرق', 'غير قادر على زرع', 'عنق الزجاجة النقل', 'وكانت الماشية قد ماتت.', 'أضرار البنية التحتية', 'نقص الزراعة', 'انخفاض الحصاد', 'نقص البنية التحتية الزراعية', 'حصيلة الماشية']",15
weather shocks,صدمات الطقس,"['cyclone', 'abnormally low rainfall', 'weather extremes', 'inadequate rainfall', 'drought', 'failed rains', 'climatic hazards', 'water availability', 'scanty rainfall', 'prolonged dry spell', 'floods', 'severe rains', 'lack of rains', 'shortage of rains']","['الإعصار', 'انخفاض هطول الأمطار بشكل غير طبيعي', 'الأحوال الجوية المتطرفة', 'عدم كفاية الأمطار', 'الجفاف', 'أمطار فاشلة', 'المخاطر المناخية', 'توافر المياه', 'الأمطار الضئيلة', 'موجة الجفاف لفترات طويلة', 'الفيضانات', 'أمطار غزيرة', 'نقص الأمطار', 'نقص الأمطار']",14
food crisis,أزمة الغذاء,"['mass hunger', 'massive starvation', 'food insecurity', 'acute hunger', 'dysfunction', 'hunger crises', 'apathy', 'infant mortality', 'malnourished', 'life-threatening hunger', 'food crisis', 'gastrointestinal', 'dehydrated']","['جوع جماعي', 'مجاعة هائلة', 'انعدام الأمن الغذائي', 'الجوع الحاد', 'اختلال وظيفي', 'أزمات الجوع', 'اللامبالاة', 'وفيات الرضع', 'سوء التغذية', 'جوع يهدد الحياة', 'أزمة الغذاء', 'الجهاز الهضمي الجهاز الهضمي', 'المجففة']",13
land-related issues,القضايا المتعلقة بالأراضي,"['land seizures', 'forests destroyed', 'land grab', 'poor soil quality', 'land invasions', 'land reform', 'pushing peasants off', 'burning houses', 'land degradation', 'farmland']","['الاستيلاء على الأراضي', 'الغابات المدمرة', 'الاستيلاء على الأراضي', 'رداءة نوعية التربة', 'غزوات برية', 'إصلاح الأراضي', 'دفع الفلاحين بعيدا', 'منازل مشتعلة', 'تدهور الأراضي', 'الأراضي الزراعية']",10
other,جهات أخرى,"['continued deterioration', 'man-made disaster', 'population crisis', 'alarming level', 'tragedy', 'slave trade', 'catastrophe', 'wreaked havoc', 'lack of alternatives']","['التدهور المستمر', 'كارثة من صنع الإنسان', 'الأزمة السكانية', 'مستوى ينذر بالخطر', 'مأساة', 'تجارة الرقيق', 'كارثة', 'تعيث فسادا', 'غياب البدائل']",9
forced displacement,التشريد القسري,"['makeshift camps', 'civilians uprooted', 'migration', 'asylum seekers', 'flee', 'refugees', 'displaced']","['مخيمات مؤقتة', 'المدنيون المقتلعون', 'الهجرة', 'طالبو اللجوء', 'الفرار', 'اللاجئون', 'المشردون']",7
pests and diseases,الآفات والأمراض,"['pests', 'rinderpest', 'cattle plague', 'potato blight', 'locusts', 'epidemics', 'cholera outbreak']","['آفات', 'الطاعون البقري', 'طاعون الماشية', 'آفة البطاطا', 'الجراد', 'أوبئة', 'تفشي الكوليرا']",7
environmental issues,القضايا البيئية,"['climate change', 'ecological crisis', 'greenhouse gases', 'environmental degradation', 'natural disaster', 'carbon']","['تغير المناخ', 'أزمة بيئية', 'غازات الدفيئة', 'التدهور البيئي', 'كارثة طبيعية', 'الكربون']",6
